id,Name,Country,Score
1,Harvard University,USA,100
2,Massachusetts Institute of Technology,USA,96.7
3,Stanford University,USA,95.1
4,University of Cambridge,United Kingdom,94.1
5,University of Oxford,United Kingdom,93.3
6,Princeton University,USA,92.6
7,Columbia University,USA,92.0
8,University of Chicago,USA,91.5
9,University of Pennsylvania,USA,91.1
10,Yale University,USA,90.7
11,California Institute of Technology,USA,90.4
12,University of California, Berkeley,USA,90.1
13,University of Tokyo,Japan,89.8
14,Cornell University,USA,89.5
15,University of Michigan, Ann Arbor,USA,89.2
16,Johns Hopkins University,USA,89.0
17,Northwestern University,USA,88.8
18,University of California, Los Angeles,USA,88.6
19,University College London,United Kingdom,88.4
20,Duke University,USA,88.2
21,PSL University,France,88.0
22,University of Illinois at Urbana–Champaign,USA,87.8
23,University of Washington - Seattle,USA,87.6
24,University of Toronto,Canada,87.5
25,University of Wisconsin–Madison,USA,87.3
26,New York University,USA,87.2
27,McGill University,Canada,87.0
28,Kyoto University,Japan,86.9
29,ETH Zurich,Switzerland,86.8
30,Imperial College London,United Kingdom,86.6
31,Seoul National University,South Korea,86.5
32,Paris-Saclay University,France,86.4
33,University of Texas at Austin,USA,86.3
34,University of California, San Diego,USA,86.1
35,Karolinska Institute,Sweden,86.0
36,Sorbonne University,France,85.9
37,University of Copenhagen,Denmark,85.8
38,University of California, San Francisco,USA,85.7
39,University of North Carolina at Chapel Hill,USA,85.6
40,Dartmouth College,USA,85.5
41,Institut Polytechnique de Paris,France,85.4
42,University of Paris,France,85.3
43,King's College London,United Kingdom,85.2
44,Ludwig Maximilian University of Munich,Germany,85.1
45,University of Edinburgh,United Kingdom,85.0
46,University of Minnesota - Twin Cities,USA,85.0
47,Washington University in St. Louis,USA,84.9
48,University of British Columbia,Canada,84.8
49,Rockefeller University,USA,84.7
50,Rutgers University–New Brunswick,USA,84.6
51,University of Southern California,USA,84.5
52,University of California, Davis,USA,84.5
53,Vanderbilt University,USA,84.4
54,Pennsylvania State University,USA,84.3
55,Free University of Berlin,Germany,84.2
56,Ohio State University,USA,84.2
57,University of Manchester,United Kingdom,84.1
58,Tsinghua University,China,84.0
59,Peking University,China,84.0
60,Humboldt University of Berlin,Germany,83.9
61,Purdue University,USA,83.8
62,University of Texas Southwestern Medical Center,USA,83.8
63,University of Melbourne,Australia,83.7
64,Hebrew University of Jerusalem,Israel,83.6
65,University of Zurich,Switzerland,83.6
66,Brown University,USA,83.5
67,Weizmann Institute of Science,Israel,83.4
68,University of Colorado Boulder,USA,83.4
69,University of Virginia,USA,83.3
70,Heidelberg University,Germany,83.3
71,Utrecht University,Netherlands,83.2
72,University of Pittsburgh,USA,83.1
73,University of Chinese Academy of Sciences,China,83.1
74,Texas A&M University, College Station,USA,83.0
75,University of Maryland, College Park,USA,83.0
76,Georgia Institute of Technology,USA,82.9
77,University of Oslo,Norway,82.9
78,Osaka University,Japan,82.8
79,University of Birmingham,United Kingdom,82.8
80,Technical University of Munich,Germany,82.7
81,University of Alberta,Canada,82.6
82,University of California, Irvine,USA,82.6
83,University of Rochester,USA,82.5
84,University of Amsterdam,Netherlands,82.5
85,Carnegie Mellon University,USA,82.4
86,University of Florida,USA,82.4
87,Leiden University,Netherlands,82.3
88,Uppsala University,Sweden,82.3
89,National University of Singapore,Singapore,82.2
90,National Taiwan University,Taiwan,82.2
91,University of Bristol,United Kingdom,82.2
92,University of Göttingen,Germany,82.1
93,University of Arizona,USA,82.1
94,Boston University,USA,82.0
95,University of California, Santa Barbara,USA,82.0
96,Erasmus University Rotterdam,Netherlands,81.9
97,Keio University,Japan,81.9
98,University of Sydney,Australia,81.8
99,University of Geneva,Switzerland,81.8
100,University of Basel,Switzerland,81.8
101,University of Leeds,United Kingdom,81.7
102,Shanghai Jiao Tong University,China,81.7
103,University of Groningen,Netherlands,81.6
104,École Polytechnique Fédérale de Lausanne,Switzerland,81.6
105,University of São Paulo,Brazil,81.5
106,University of Texas MD Anderson Cancer Center,USA,81.5
107,Aarhus University,Denmark,81.5
108,University of Tübingen,Germany,81.4
109,University of Queensland,Australia,81.4
110,Zhejiang University,China,81.3
111,Indiana University Bloomington,USA,81.3
112,University of Utah,USA,81.3
113,Sapienza University of Rome,Italy,81.2
114,University of New South Wales,Australia,81.2
115,Fudan University,China,81.1
116,KU Leuven,Belgium,81.1
117,University of Southampton,United Kingdom,81.1
118,University of Helsinki,Finland,81.0
119,INSEAD,France,81.0
120,University of Montreal,Canada,81.0
121,Ghent University,Belgium,80.9
122,University of Freiburg,Germany,80.9
123,University of Bonn,Germany,80.9
124,Emory University,USA,80.8
125,Australian National University,Australia,80.8
126,University of Glasgow,United Kingdom,80.7
127,Baylor College of Medicine,USA,80.7
128,Monash University,Australia,80.7
129,Case Western Reserve University,USA,80.6
130,Nagoya University,Japan,80.6
131,University of Barcelona,Spain,80.6
132,Tohoku University,Japan,80.5
133,Goethe University Frankfurt,Germany,80.5
134,Tufts University,USA,80.5
135,University of Nottingham,United Kingdom,80.4
136,Nanyang Technological University,Singapore,80.4
137,University of Liverpool,United Kingdom,80.4
138,Grenoble Alpes University,France,80.3
139,University of Science and Technology of China,China,80.3
140,KTH Royal Institute of Technology,Sweden,80.3
141,Lund University,Sweden,80.3
142,VU Amsterdam,Netherlands,80.2
143,University of Bern,Switzerland,80.2
144,Stockholm University,Sweden,80.2
145,University of Iowa,USA,80.1
146,Michigan State University,USA,80.1
147,Rice University,USA,80.1
148,University of Strasbourg,France,80.0
149,University of Colorado Anschutz Medical Campus,USA,80.0
150,University of Sheffield,United Kingdom,80.0
151,Tokyo Institute of Technology,Japan,79.9
152,Tel Aviv University,Israel,79.9
153,Sun Yat-sen University,China,79.9
154,Queen Mary University of London,United Kingdom,79.9
155,Radboud University,Netherlands,79.8
156,University of Western Australia,Australia,79.8
157,Aix-Marseille University,France,79.8
158,University of Massachusetts Amherst,USA,79.7
159,Cardiff University,United Kingdom,79.7
160,Huazhong University of Science and Technology,China,79.7
161,Technion – Israel Institute of Technology,Israel,79.7
162,Nanjing University,China,79.6
163,Korea University,South Korea,79.6
164,McMaster University,Canada,79.6
165,University of Padova,Italy,79.5
166,University of Hamburg,Germany,79.5
167,Iowa State University,USA,79.5
168,University of Montpellier,France,79.5
169,Yonsei University,South Korea,79.4
170,University of Notre Dame,USA,79.4
171,University of Hong Kong,China,79.4
172,Icahn School of Medicine at Mount Sinai,USA,79.4
173,University of Gothenburg,Sweden,79.3
174,University of Warwick,United Kingdom,79.3
175,École nationale d'administration,France,79.3
176,University of Milan,Italy,79.2
177,University of Bologna,Italy,79.2
178,Newcastle University,United Kingdom,79.2
179,University of Alabama at Birmingham,USA,79.2
180,Wageningen University & Research,Netherlands,79.1
181,Arizona State University,USA,79.1
182,Norwegian University of Science and Technology,Norway,79.1
183,Western University,Canada,79.1
184,University of Cologne,Germany,79.0
185,University of Kansas,USA,79.0
186,Autonomous University of Barcelona,Spain,79.0
187,Chinese University of Hong Kong,China,79.0
188,Waseda University,Japan,78.9
189,University of Lausanne,Switzerland,78.9
190,University of Calgary,Canada,78.9
191,North Carolina State University,USA,78.9
192,Sungkyunkwan University,South Korea,78.8
193,University of Münster,Germany,78.8
194,Lomonosov Moscow State University,Russia,78.8
195,University of Connecticut,USA,78.8
196,Technical University of Denmark,Denmark,78.8
197,Université catholique de Louvain,Belgium,78.7
198,Stony Brook University,USA,78.7
199,Brandeis University,USA,78.7
200,University of Waterloo,Canada,78.7
201,University of Lisbon,Portugal,78.6
202,University of Ottawa,Canada,78.6
203,University of Würzburg,Germany,78.6
204,University of Georgia,USA,78.6
205,Xi'an Jiaotong University,China,78.5
206,Harbin Institute of Technology,China,78.5
207,University of Vienna,Austria,78.5
208,Johannes Gutenberg University Mainz,Germany,78.5
209,Yeshiva University,USA,78.5
210,Technical University of Dresden,Germany,78.4
211,RWTH Aachen University,Germany,78.4
212,The Scripps Research Institute,USA,78.4
213,University of Adelaide,Australia,78.4
214,University of Illinois at Chicago,USA,78.3
215,Wuhan University,China,78.3
216,Kiel University,Germany,78.3
217,University of Missouri–Columbia,USA,78.3
218,Trinity College Dublin,Ireland,78.3
219,Université libre de Bruxelles,Belgium,78.2
220,Hokkaido University,Japan,78.2
221,Claude Bernard University Lyon 1,France,78.2
222,Xiamen University,China,78.2
223,KAIST,South Korea,78.2
224,Kyushu University,Japan,78.1
225,Shandong University,China,78.1
226,University of Miami,USA,78.1
227,University of Erlangen–Nuremberg,Germany,78.1
228,Georgetown University,USA,78.0
229,Hong Kong University of Science and Technology,China,78.0
230,University of Turin,Italy,78.0
231,Tianjin University,China,78.0
232,London School of Hygiene & Tropical Medicine,United Kingdom,78.0
233,Charles University in Prague,Czech Republic,77.9
234,Karlsruhe Institute of Technology,Germany,77.9
235,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Russia,77.9
236,University of Cincinnati,USA,77.9
237,Wake Forest University,USA,77.9
238,University of Naples Federico II,Italy,77.8
